"DATA_LECTURA","DATA_EXTREM","CODI_ESTACIO","ACRÒNIM","VALOR"
2024-01-05,NA,"X8","RS24h",2.5
2024-01-05,NA,"X8","VVM10",1.6
2024-01-05,NA,"X8","DVM10",337
2024-01-05,"23:59:00","X8","VVX10",8.5
2024-01-05,"23:59:00","X8","DVVX10",304
2024-01-06,NA,"D5","TM",6.9
2024-01-06,"13:55:00","D5","TX",12.2
2024-01-06,"23:58:00","D5","TN",4.1
2024-01-06,NA,"D5","HRM",63
2024-01-06,"00:00:00","D5","HRX",94
2024-01-06,"17:35:00","D5","HRN",43
2024-01-06,NA,"D5","PM",959.1
2024-01-06,"23:02:00","D5","PX",962.2
2024-01-06,"01:24:00","D5","PN",955.6
2024-01-06,NA,"D5","PPT",0
2024-01-06,NA,"D5","RS24h",9.4
2024-01-06,NA,"D5","VVM10",7.1
2024-01-06,NA,"D5","DVM10",321
2024-01-06,"05:52:00","D5","VVX10",15.3
2024-01-06,"05:52:00","D5","DVVX10",340
2024-01-06,NA,"X2","TM",10.5
2024-01-06,"14:35:00","X2","TX",15
2024-01-06,"08:00:00","X2","TN",6.4
2024-01-06,NA,"X2","HRM",54
2024-01-06,"00:06:00","X2","HRX",86
2024-01-06,"17:15:00","X2","HRN",27
2024-01-06,NA,"X4","TM",10.7
2024-01-06,"14:10:00","X4","TX",15.2
2024-01-06,"05:23:00","X4","TN",7.9
2024-01-06,NA,"X4","HRM",50
2024-01-06,"00:01:00","X4","HRX",76
2024-01-06,"17:23:00","X4","HRN",29
2024-01-06,NA,"X4","PM",1003.9
2024-01-06,"20:03:00","X4","PX",1006.6
2024-01-06,"01:13:00","X4","PN",1000.5
2024-01-06,NA,"X4","PPT",0
2024-01-06,NA,"X4","RS24h",9.5
2024-01-06,NA,"X4","VVM10",3
2024-01-06,NA,"X4","DVM10",295
2024-01-06,"23:03:00","X4","VVX10",12
2024-01-06,"23:03:00","X4","DVVX10",311
2024-01-06,NA,"X8","TM",9.8
2024-01-06,"14:11:00","X8","TX",14.4
2024-01-06,"07:39:00","X8","TN",6.8
2024-01-06,NA,"X8","HRM",54
2024-01-06,"00:00:00","X8","HRX",82
2024-01-06,"18:20:00","X8","HRN",39
2024-01-06,NA,"X8","PM",998.1
2024-01-06,"23:58:00","X8","PX",1001.2
2024-01-06,"01:24:00","X8","PN",994.6
2024-01-06,NA,"X8","PPT",0
2024-01-06,NA,"X8","RS24h",9.3
2024-01-06,NA,"X8","VVM10",4.9
2024-01-06,NA,"X8","DVM10",313
2024-01-06,"23:09:00","X8","VVX10",13.4
2024-01-06,"23:09:00","X8","DVVX10",302
2024-01-07,NA,"D5","TM",6.5
2024-01-07,"13:51:00","D5","TX",12.5
2024-01-07,"07:20:00","D5","TN",3
2024-01-07,NA,"D5","HRM",43
2024-01-07,"05:35:00","D5","HRX",68
2024-01-07,"15:05:00","D5","HRN",19
2024-01-07,NA,"D5","PM",962.8
2024-01-07,"23:56:00","D5","PX",964.2
2024-01-07,"04:56:00","D5","PN",961.5
2024-01-07,NA,"D5","PPT",0
2024-01-07,NA,"D5","RS24h",9.6
2024-01-07,NA,"D5","VVM10",4.9
2024-01-07,NA,"D5","DVM10",310
2024-01-07,"01:12:00","D5","VVX10",13
2024-01-07,"01:12:00","D5","DVVX10",308
2024-01-07,NA,"X2","TM",10.5
2024-01-07,"15:01:00","X2","TX",14.7
2024-01-07,"06:32:00","X2","TN",7.5
2024-01-07,NA,"X2","HRM",33
2024-01-07,"02:54:00","X2","HRX",51
2024-01-07,"15:07:00","X2","HRN",16
2024-01-07,NA,"X4","TM",10.3
2024-01-07,"14:41:00","X4","TX",14.9
2024-01-07,"05:48:00","X4","TN",7.1
2024-01-07,NA,"X4","HRM",32
2024-01-07,"02:48:00","X4","HRX",53
2024-01-07,"15:18:00","X4","HRN",14
2024-01-07,NA,"X4","PM",1007.5
2024-01-07,"23:30:00","X4","PX",1008.9
2024-01-07,"01:36:00","X4","PN",1005.9
2024-01-07,NA,"X4","PPT",0
2024-01-07,NA,"X4","RS24h",9.8
2024-01-07,NA,"X4","VVM10",4.7
2024-01-07,NA,"X4","DVM10",325
2024-01-07,"09:48:00","X4","VVX10",13.7
2024-01-07,"09:48:00","X4","DVVX10",305
2024-01-07,NA,"X8","TM",9.7
2024-01-07,"13:34:00","X8","TX",14.7
2024-01-07,"05:30:00","X8","TN",6.5
2024-01-07,NA,"X8","HRM",33
2024-01-07,"05:28:00","X8","HRX",54
2024-01-07,"15:10:00","X8","HRN",14
2024-01-07,NA,"X8","PM",1002
2024-01-07,"23:27:00","X8","PX",1003.2
2024-01-07,"01:12:00","X8","PN",1000.5
2024-01-07,NA,"X8","PPT",0
2024-01-07,NA,"X8","RS24h",9.6
2024-01-07,NA,"X8","VVM10",5.2
2024-01-07,NA,"X8","DVM10",315
2024-01-07,"08:14:00","X8","VVX10",13.9
2024-01-07,"08:14:00","X8","DVVX10",316
2024-01-08,NA,"D5","TM",6
2024-01-08,"14:38:00","D5","TX",11.6
2024-01-08,"08:12:00","D5","TN",3.2
2024-01-08,NA,"D5","HRM",39
2024-01-08,"23:31:00","D5","HRX",52
2024-01-08,"14:14:00","D5","HRN",27
2024-01-08,NA,"D5","PM",966.2
2024-01-08,"23:39:00","D5","PX",969.9
2024-01-08,"01:36:00","D5","PN",963.3
2024-01-08,NA,"D5","PPT",0
2024-01-08,NA,"D5","RS24h",9.7
2024-01-08,NA,"D5","VVM10",6.2
2024-01-08,NA,"D5","DVM10",336
2024-01-08,"03:23:00","D5","VVX10",14.7
2024-01-08,"03:23:00","D5","DVVX10",344
2024-01-08,NA,"X2","TM",7.8
2024-01-08,"12:46:00","X2","TX",11.8
2024-01-08,"06:32:00","X2","TN",4.4
2024-01-08,NA,"X2","HRM",44
2024-01-08,"20:38:00","X2","HRX",74
2024-01-08,"11:46:00","X2","HRN",24
2024-01-08,NA,"X4","TM",9.2
